namakab,kodekec,namakec,idkab,idkec,kodedapodik
BOGOR,320113,BOJONG GEDE,3201,3201220,020522
SUKABUMI,320229,CISAAT,3202,3202200,020620
CIANJUR,320310,PACET,3203,3203220,020721
BANDUNG,320412,DAYEUHKOLOT,3204,3204270,020822
GARUT,320506,BANYURESMI,3205,3205230,021122
TASIKMALAYA,320626,SUKARAME,3206,3206191,021228
CIAMIS,320701,CIAMIS,3207,3207210,021412
KUNINGAN,320817,DARMA,3208,3208010,021501
CIREBON,320905,BABAKAN,3209,3209040,021704
MAJALENGKA,321020,CIGASONG,3210,3210080,021608
SUMEDANG,321108,PASEH,3211,3211150,021014
INDRAMAYU,321213,JATIBARANG,3212,3212130,021813
SUBANG,321327,DAWUAN,3213,3213081,021923
PURWAKARTA,321409,WANAYASA,3214,3214080,022008
KARAWANG,321521,MAJALAYA,3215,3215111,022118
BEKASI,321623,BOJONGMANGU,3216,3216031,022219
BANDUNG BARAT,321706,NGAMPRAH,3217,3217100,022310
PANGANDARAN,321809,PANGANDARAN,3218,3218070,022508
KOTA BOGOR,327101,BOGOR SELATAN,3271,3271010,026101
KOTA SUKABUMI,327203,CITAMIANG,3272,3272020,026202
KOTA BANDUNG,327311,REGOL,3273,3273060,026006
KOTA CIREBON,327405,KESAMBI,3274,3274040,026304
KOTA BEKASI,327506,MEDANSATRIA,3275,3276021,026509
KOTA CIMAHI,327703,CIMAHI UTARA,3277,3277030,026703
KOTA TASIKMALAYA,327803,TAWANG,3278,3278040,026808
KOTA BANJAR,327903,PURWAHARJA,3279,3279020,026902
