namakab;namakec;idkec
Bogor;Bojong Gede;020522
Sukabumi;Cisaat;020620
Cianjur;Pacet;020721
Bandung;Dayeuhkolot;020822
Garut;Banyuresmi;021122
Tasikmalaya;Sukarame;021228
Ciamis;Ciamis;021412
Kuningan;Darma;021501
Cirebon;Babakan;021704
Majalengka;Cigasong;021608
Sumedang;Paseh;021014
Indramayu;Jatibarang;021813
Subang;Dawuan;021923
Purwakarta;Wanayasa;022008
Karawang;Majalaya;022118
Bekasi;Bojong Mangu;022219
Bandung Barat;Ngamprah;022310
Pangandaran;Pangandaran;022508
Kota Bogor;Kota Bogor Selatan;026101
Kota Sukabumi;Citamiang;026202
Kota Bandung;Regol;026006
Kota Cirebon;Kesambi;026304
Kota Bekasi;Medan Satria;026509
Kota Depok;Cipayung;026607
Kota Cimahi;Cimahi Utara;026703
Kota Tasikmalaya;Tawang;026808
Kota Banjar;Purwaharja;026902
